APP,Image Setting Value,,Save Option,Tampered image file name
,,x,Save,WipeOut49_10_2023_014909.525000.jpg
,,x,Save,WipeOut49_10_2023_014959.521000.jpg
,,x,Save,WipeOut51_10_2023_015127.382000.jpg
SnapEdit,x,x,High Quality,1676005846110.png
,,x,High Quality,1676006229047.png
,,x,High Quality,1676006321558.png
,,x,High Quality,1676006395194.png
,,x,High Quality,1676006455632.png
,,x,High Quality,1676006526266.png
,,x,High Quality,1676006593858.png
,,x,High Quality,1676006660361.png
,,x,High Quality,1676006718548.png
,,x,High Quality,1676006827698.png
,,x,High Quality,1676006899183.png
,,x,Standard Quality,1676005237656.png
,,x,Standard Quality,1676005271711.png
,,x,Standard Quality,1676005298315.png
,,x,Standard Quality,1676005336784.png
,,x,Standard Quality,1676005375862.png
,,x,Standard Quality,1676005419065.png
,,x,Standard Quality,1676005462770.png
,,x,Standard Quality,1676005504952.png
,,x,Standard Quality,1676005539379.png
,,x,Standard Quality,1676005623010.png
,,x,Standard Quality,1676005721789.png
Adobe Photoshop Fix,x,x,Save to gallery,PSFix_20230210_145324.jpeg
,,x,,PSFix_20230210_145332.jpeg
,,x,,PSFix_20230210_145347.jpeg
,,x,,PSFix_20230210_145352.jpeg
,,x,,PSFix_20230210_145359.jpeg
,,x,,PSFix_20230210_145407.jpeg
,,x,,PSFix_20230210_145412.jpeg
,,x,,PSFix_20230210_145419.jpeg
,,x,,PSFix_20230210_145426.jpeg
,,x,,PSFix_20230210_145431.jpeg
,,x,,PSFix_20230210_145436.jpeg
Photoshop Express,Image Size,No Resizing,Save,PSX_20230210_150703.jpg
,,No Resizing,Save,PSX_20230210_153020.jpg
,,No Resizing,Save,PSX_20230210_153300.jpg
,,No Resizing,Save,PSX_20230210_153452.jpg
,,No Resizing,Save,PSX_20230210_153915.jpg
,,No Resizing,Save,PSX_20230210_154021.jpg
,,No Resizing,Save,PSX_20230210_154333.jpg
,,No Resizing,Save,PSX_20230210_154427.jpg
,,No Resizing,Save,PSX_20230210_154524.jpg
,,No Resizing,Save,PSX_20230210_154640.jpg
,,No Resizing,Save,PSX_20230210_154732.jpg
,,3000x4000,Save,PSX_20230210_151710.jpg
,,3000x4000,Save,PSX_20230210_153025.jpg
,,3000x4000,Save,PSX_20230210_153303.jpg
,,3000x4000,Save,PSX_20230210_153458.jpg
,,3000x4000,Save,PSX_20230210_153921.jpg
,,3000x4000,Save,PSX_20230210_154023.jpg
,,3000x4000,Save,PSX_20230210_154336.jpg
,,3000x4000,Save,PSX_20230210_154430.jpg
,,3000x4000,Save,PSX_20230210_154527.jpg
,,3000x4000,Save,PSX_20230210_154644.jpg
,,3000x4000,Save,PSX_20230210_154734.jpg
,,1500x2000,Save,PSX_20230210_151717.jpg
,,1500x2000,Save,PSX_20230210_153027.jpg
,,1500x2000,Save,PSX_20230210_153315.jpg
,,1500x2000,Save,PSX_20230210_153500.jpg
,,1500x2000,Save,PSX_20230210_153924.jpg
,,1500x2000,Save,PSX_20230210_154029.jpg
,,1500x2000,Save,PSX_20230210_154339.jpg
,,1500x2000,Save,PSX_20230210_154433.jpg
,,1500x2000,Save,PSX_20230210_154530.jpg
,,1500x2000,Save,PSX_20230210_154647.jpg
,,1500x2000,Save,PSX_20230210_154737.jpg
,,1125x1500,Save,PSX_20230210_151720.jpg
,,1125x1500,Save,PSX_20230210_153030.jpg
,,1125x1500,Save,PSX_20230210_153343.jpg
,,1125x1500,Save,PSX_20230210_153503.jpg
,,1125x1500,Save,PSX_20230210_153926.jpg
,,1125x1500,Save,PSX_20230210_154034.jpg
,,1125x1500,Save,PSX_20230210_154343.jpg
,,1125x1500,Save,PSX_20230210_154436.jpg
,,1125x1500,Save,PSX_20230210_154533.jpg
,,1125x1500,Save,PSX_20230210_154650.jpg
,,1125x1500,Save,PSX_20230210_154740.jpg
,,600x800,Save,PSX_20230210_151723.jpg
,,600x800,Save,PSX_20230210_153033.jpg
,,600x800,Save,PSX_20230210_153353.jpg
,,600x800,Save,PSX_20230210_153507.jpg
,,600x800,Save,PSX_20230210_153928.jpg
,,600x800,Save,PSX_20230210_154038.jpg
,,600x800,Save,PSX_20230210_154346.jpg
,,600x800,Save,PSX_20230210_154439.jpg
,,600x800,Save,PSX_20230210_154537.jpg
,,600x800,Save,PSX_20230210_154653.jpg
,,600x800,Save,PSX_20230210_154742.jpg
,,Make a square,Save,PSX_20230210_151733.jpg
,,Make a square,Save,PSX_20230210_153038.jpg
,,Make a square,Save,PSX_20230210_153406.jpg
,,Make a square,Save,PSX_20230210_153511.jpg
,,Make a square,Save,PSX_20230210_153931.jpg
,,Make a square,Save,PSX_20230210_154043.jpg
,,Make a square,Save,PSX_20230210_154349.jpg
,,Make a square,Save,PSX_20230210_154442.jpg
,,Make a square,Save,PSX_20230210_154541.jpg
,,Make a square,Save,PSX_20230210_154657.jpg
,,Make a square,Save,PSX_20230210_154745.jpg
Samsung Photo Editor,Image Size,20%,Save as another file,20230227_135743.jpg
,,40%,Save as another file,20230227_135919.jpg
,,60%,Save as another file,20230227_140000.jpg
,,80%,Save as another file,20230227_140256.jpg
,,No Resizing,Save as another file,20230227_140335.jpg
,,20%,Save as another file,20230227_140536.jpg
,,40%,Save as another file,20230227_140604.jpg
,,60%,Save as another file,20230227_140707.jpg
,,80%,Save as another file,20230227_140730.jpg
,,No Resizing,Save as another file,20230227_140813.jpg
,,20%,Save as another file,20230227_140859.jpg
,,40%,Save as another file,20230227_140938.jpg
,,60%,Save as another file,20230227_141018.jpg
,,80%,Save as another file,20230227_141053.jpg
,,No Resizing,Save as another file,20230227_141153.jpg
,,20%,Save as another file,20230227_141253.jpg
,,40%,Save as another file,20230227_141333.jpg
,,60%,Save as another file,20230227_141518.jpg
,,80%,Save as another file,20230227_141551.jpg
,,No Resizing,Save as another file,20230227_141642.jpg
,,20%,Save as another file,20230227_153258.jpg
,,40%,Save as another file,20230227_153553.jpg
,,60%,Save as another file,20230227_153626.jpg
,,80%,Save as another file,20230227_153701.jpg
,,No Resizing,Save as another file,20230227_153731.jpg
,,20%,Save as another file,20230227_158333.jpg
,,40%,Save as another file,20230227_153910.jpg
,,60%,Save as another file,20230227_153940.jpg
,,80%,Save as another file,20230227_154011.jpg
,,No Resizing,Save as another file,20230227_154036.jpg
,,20%,Save as another file,20230227_154124.jpg
,,40%,Save as another file,20230227_154205.jpg
,,60%,Save as another file,20230227_154235.jpg
,,80%,Save as another file,20230227_154306.jpg
,,No Resizing,Save as another file,20230227_154342.jpg
,,20%,Save as another file,20230227_154421.jpg
,,40%,Save as another file,20230227_154448.jpg
,,60%,Save as another file,20230227_154520.jpg
,,80%,Save as another file,20230227_154546.jpg
,,No Resizing,Save as another file,20230227_154611.jpg
,,20%,Save as another file,20230227_154649.jpg
,,40%,Save as another file,20230227_154717.jpg
,,60%,Save as another file,20230227_154754.jpg
,,80%,Save as another file,20230227_154824.jpg
,,No Resizing,Save as another file,20230227_154847.jpg
,,20%,Save as another file,20230227_154946.jpg
,,40%,Save as another file,20230227_155040.jpg
,,60%,Save as another file,20230227_155122.jpg
,,80%,Save as another file,20230227_155201.jpg
,,No Resizing,Save as another file,20230227_155236.jpg
,,20%,Save as another file,20230227_155322.jpg
,,40%,Save as another file,20230227_155410.jpg
,,60%,Save as another file,20230227_155446.jpg
,,80%,Save as another file,20230227_155517.jpg
,,No Resizing,Save as another file,20230227_155557.jpg
,,20%,Save,20230203_142223_20.jpg
,,40%,Save,20230203_142223_40.jpg
,,60%,Save,20230203_142223_60.jpg
,,80%,Save,20230203_142223_80.jpg
,,No Resizing,Save,20230203_142223_original.jpg
,,20%,Save,20230203_141419_20.jpg
,,40%,Save,20230203_141419_40.jpg
,,60%,Save,20230203_141419_60.jpg
,,80%,Save,20230203_141419_80.jpg
,,No Resizing,Save,20230203_141419_original.jpg
,,20%,Save,20230203_141333_20.jpg
,,40%,Save,20230203_141333_40.jpg
,,60%,Save,20230203_141333_60.jpg
,,80%,Save,20230203_141333_80.jpg
,,No Resizing,Save,20230203_141333_original.jpg
,,20%,Save,20230203_141154_20.jpg
,,40%,Save,20230203_141154_40.jpg
,,60%,Save,20230203_141154_60.jpg
,,80%,Save,20230203_141154_80.jpg
,,No Resizing,Save,20230203_141154_original.jpg
,,20%,Save,20230203_140858_20.jpg
,,40%,Save,20230203_140858_40.jpg
,,60%,Save,20230203_140858_60.jpg
,,80%,Save,20230203_140858_80.jpg
,,No Resizing,Save,20230203_140858_original.jpg
,,20%,Save,20230203_140259_20.jpg
,,40%,Save,20230203_140259_40.jpg
,,60%,Save,20230203_140259_60.jpg
,,80%,Save,20230203_140259_80.jpg
,,No Resizing,Save,20230203_140259_original.jpg
,,20%,Save,20230203_140210_20.jpg
,,40%,Save,20230203_140210_40.jpg
,,60%,Save,20230203_140210_60.jpg
,,80%,Save,20230203_140210_80.jpg
,,No Resizing,Save,20230203_140210_original.jpg
,,20%,Save,20230203_140205_20.jpg
,,40%,Save,20230203_140205_40.jpg
,,60%,Save,20230203_140205_60.jpg
,,80%,Save,20230203_140205_80.jpg
,,No Resizing,Save,20230203_140205_original.jpg
,,20%,Save,20230203_135630_20.jpg
,,40%,Save,20230203_135630_40.jpg
,,60%,Save,20230203_135630_60.jpg
,,80%,Save,20230203_135630_80.jpg
,,No Resizing,Save,20230203_135630_original.jpg
,,20%,Save,20230203_135518_20.jpg
,,40%,Save,20230203_135518_40.jpg
,,60%,Save,20230203_135518_60.jpg
,,80%,Save,20230203_135518_80.jpg
,,No Resizing,Save,20230203_135518_original.jpg
,,20%,Save,20230203_134902_20.jpg
,,40%,Save,20230203_134902_40.jpg
,,60%,Save,20230203_134902_60.jpg
,,80%,Save,20230203_134902_80.jpg
,,No Resizing,Save,20230203_134902_original.jpg
Photo Studio,Image Size,No Resizing,JPG,photostudio_1677485755141.jpg
,,Normal,JPG,photostudio_1677485773552.jpg
,,Small,JPG,photostudio_1677485786335.jpg
,,No Resizing,PNG,photostudio_1677485804831.png
,,Normal,PNG,photostudio_1677485812598.png
,,Small,PNG,photostudio_1677485825078.png
,,No Resizing,JPG,photostudio_1677486496740.jpg
,,Normal,JPG,photostudio_1677486504941.jpg
,,Small,JPG,photostudio_1677486512644.jpg
,,No Resizing,PNG,photostudio_1677486521634.png
,,Normal,PNG,photostudio_1677486532849.png
,,Small,PNG,photostudio_1677486551225.png
,,No Resizing,JPG,photostudio_1677486939605.jpg
,,Normal,JPG,photostudio_1677486945796.jpg
,,Small,JPG,photostudio_1677486952962.jpg
,,No Resizing,PNG,photostudio_1677486958459.png
,,Normal,PNG,photostudio_1677486964606.png
,,Small,PNG,photostudio_1677486972423.png
,,No Resizing,JPG,photostudio_1677488039908.jpg
,,Normal,JPG,photostudio_1677488099034.jpg
,,Small,JPG,photostudio_1677488110207.jpg
,,No Resizing,PNG,photostudio_1677488115803.png
,,Normal,PNG,photostudio_1677488122267.png
,,Small,PNG,photostudio_1677488130953.png
,,No Resizing,JPG,photostudio_1677488377083.jpg
,,Normal,JPG,photostudio_1677488384366.jpg
,,Small,JPG,photostudio_1677488389944.jpg
,,No Resizing,PNG,photostudio_1677488536706.png
,,Normal,PNG,photostudio_1677488565236.png
,,Small,PNG,photostudio_1677488576027.png
,,No Resizing,JPG,photostudio_1677729918830.jpg
,,Normal,JPG,photostudio_1677729941435.jpg
,,Small,JPG,photostudio_1677729957892.jpg
,,No Resizing,PNG,photostudio_1677729995824.png
,,Normal,PNG,photostudio_1677730007654.png
,,Small,PNG,photostudio_1677730017362.png
,,No Resizing,JPG,photostudio_1677737970928.jpg
,,Normal,JPG,photostudio_1677737986160.jpg
,,Small,JPG,photostudio_1677738000040.jpg
,,No Resizing,PNG,photostudio_1677738014604.png
,,Normal,PNG,photostudio_1677738033579.png
,,Small,PNG,photostudio_1677738044788.png
,,No Resizing,JPG,photostudio_1677738672009.jpg
,,Normal,JPG,photostudio_1677738686524.jpg
,,Small,JPG,photostudio_1677738723575.jpg
,,No Resizing,PNG,photostudio_1677738735001.png
,,Normal,PNG,photostudio_1677738749468.png
,,Small,PNG,photostudio_1677738776650.png
,,No Resizing,JPG,photostudio_1677739646719.jpg
,,Normal,JPG,photostudio_1677739665159.jpg
,,Small,JPG,photostudio_1677739694396.jpg
,,No Resizing,PNG,photostudio_1677739714812.png
,,Normal,PNG,photostudio_1677739727708.png
,,Small,PNG,photostudio_1677739743296.png
,,No Resizing,JPG,photostudio_1677740041241.jpg
,,Normal,JPG,photostudio_1677740054894.jpg
,,Small,JPG,photostudio_1677740073337.jpg
,,No Resizing,PNG,photostudio_1677740422756.png
,,Normal,PNG,photostudio_1677740438272.png
,,Small,PNG,photostudio_1677740452386.png
,,No Resizing,JPG,photostudio_1677741177851.jpg
,,Normal,JPG,photostudio_1677741196323.jpg
,,Small,JPG,photostudio_1677741217481.jpg
,,No Resizing,PNG,photostudio_1677741231258.png
,,Normal,PNG,photostudio_1677741249716.png
,,Small,PNG,photostudio_1677741272564.png
Background Eraser(handy),Smooth Edge,0,Save,1677742227731.png
,,1,Save,1677742308352.png
,,2,Save,1677742335980.png
,,3,Save,1677742359628.png
,,4,Save,1677742401531.png
,,5,Save,1677742440164.png
,,0,Save,1677743094453.png
,,1,Save,1677743125446.png
,,2,Save,1677743150221.png
,,3,Save,1677743183357.png
,,4,Save,1677743205645.png
,,5,Save,1677743231082.png
,,0,Save,1677743538146.png
,,1,Save,1677743569858.png
,,2,Save,1677743596713.png
,,3,Save,1677743617851.png
,,4,Save,1677743643391.png
,,5,Save,1677743668891.png
,,0,Save,1677743969584.png
,,1,Save,1677743995840.png
,,2,Save,1677744019038.png
,,3,Save,1677744047594.png
,,4,Save,1677744081861.png
,,5,Save,1677744107438.png
,,0,Save,1677744253602.png
,,1,Save,1677744278154.png
,,2,Save,1677744298031.png
,,3,Save,1677744321016.png
,,4,Save,1677744345577.png
,,5,Save,1677744366019.png
,,0,Save,1677744651077.png
,,1,Save,1677744676871.png
,,2,Save,1677744703501.png
,,3,Save,1677744732589.png
,,4,Save,1677744760018.png
,,5,Save,1677744783876.png
,,0,Save,1677744963862.png
,,1,Save,1677744989210.png
,,2,Save,1677745013658.png
,,3,Save,1677745055726.png
,,4,Save,1677745083595.png
,,5,Save,1677745102865.png
,,0,Save,1677825770992.png
,,1,Save,1677825796039.png
,,2,Save,1677825825884.png
,,3,Save,1677825848149.png
,,4,Save,1677825868737.png
,,5,Save,1677825894573.png
,,0,Save,1677826012531.png
,,1,Save,1677826033643.png
,,2,Save,1677826054211.png
,,3,Save,1677826071471.png
,,4,Save,1677826086976.png
,,5,Save,1677826105658.png
,,0,Save,1677826386018.png
,,1,Save,1677826412356.png
,,2,Save,1677826435888.png
,,3,Save,1677826452296.png
,,4,Save,1677826469260.png
,,5,Save,1677826490517.png
,,0,Save,1677826553131.png
,,1,Save,1677826569678.png
,,2,Save,1677826591059.png
,,3,Save,1677826619034.png
,,4,Save,1677826634625.png
,,5,Save,1677826651825.png
Background Eraser(Inshot),Image Size,1080,x,BackgroundEraser_20230303_160159871.jpg
,,1920,x,BackgroundEraser_20230303_160316478.jpg
,,1080,x,BackgroundEraser_20230303_160422210.jpg
,,1920,x,BackgroundEraser_20230303_160432606.jpg
,,1080,x,BackgroundEraser_20230303_160709204.jpg
,,1920,x,BackgroundEraser_20230303_160725032.jpg
,,1080,x,BackgroundEraser_20230303_160836000.jpg
,,1920,x,BackgroundEraser_20230303_160845895.jpg
,,1080,x,BackgroundEraser_20230303_161044515.jpg
,,1920,x,BackgroundEraser_20230303_161053745.jpg
,,1080,x,BackgroundEraser_20230303_161141605.jpg
,,1920,x,BackgroundEraser_20230303_161150915.jpg
,,1080,x,BackgroundEraser_20230303_161421841.jpg
,,1920,x,BackgroundEraser_20230303_161431487.jpg
,,1080,x,BackgroundEraser_20230303_161821061.jpg
,,1920,x,BackgroundEraser_20230303_161827493.jpg
,,1080,x,BackgroundEraser_20230303_162119670.jpg
,,1920,x,BackgroundEraser_20230303_162130740.jpg
,,1080,x,BackgroundEraser_20230303_162257156.jpg
,,1920,x,BackgroundEraser_20230303_162307120.jpg
,,1080,x,BackgroundEraser_20230303_162428047.jpg
,,1920,x,BackgroundEraser_20230303_162437030.jpg
removebg,x,x,Download(preview image),ei_1677829059534-removebg-preview.png
,,x,Download(preview image),ei_1677829140972-removebg-preview.png
,,x,Download(preview image),ei_1677829180450-removebg-preview.png
,,x,Download(preview image),ei_1677829252720-removebg-preview.png
,,x,Download(preview image),ei_1677829305253-removebg-preview.png
,,x,Download(preview image),ei_1677829357973-removebg-preview.png
,,x,Download(preview image),ei_1677829418904-removebg-preview.png
,,x,Download(preview image),ei_1677829455806-removebg-preview.png
,,x,Download(preview image),ei_1677828748104-removebg-preview.png
,,x,Download(preview image),ei_1677828844965-removebg-preview.png
,,x,Download(preview image),ei_1677828990467-removebg-preview.png
